name,recipie,category,image_name,image_ext,image_url
Милкшейк с попкорном," Ингредиенты:  Милкшейк Essence «Ванильный»: 20 г; Сироп Pinch&Drop «Попкорн»: 20 мл; Молоко: 150 мл; Лед кусковой: 5 шт.  Метод приготовления:  Поместить ингредиенты в чашу блендера; Смешать до однородной консистенции; Перелить в бокал, украсить.  Украшения: Взбитые сливки, попкорн в карамели,
гарнищ Essence «Вафельный рожок» Емкость для подачи: Бокал для пива «Тулип», Pasabahce, стекло, 385 мл ",milkshake,1725212947_970795.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/aHmpw50uOD78SuxYUgUYQvGjwT4=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F260%2FMilkshake_with_popcorn.png
Освежающий малиновый шоколад ," Ингредиенты:  Essence «Горячий шоколад»: 20 г; Сироп Pinch&Drop «Малина»: 15 мл; Молоко: 100 мл; Лед кусковой: 5 шт.  Метод приготовления:  Поместить ингредиенты в чашу блендера; Смешать до однородной консистенции; Перелить в бокал, украсить.  Украшения: ягоды малины Емкость для подачи: Хайбол «Фрости», Borgonovo, стекло, 300 мл ",milkshake,1725212949_2216647.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/msK47f4lRX2kkISy4PGVHJsIxKU=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F260%2FRefreshing_raspberry_chocolate.png
Лимонад «‎Гранат-арбуз»‎," Ингредиенты:  пюре ОДК «Арбуз» – 20 мл
концентрированный сок ODK «Лимон Сауэр» – 10 мл
гранатовый тоник – 100 мл
лед – 7-10 кубиков  Метод приготовления:  В бокал добавить листья мяты, влить все ингредиенты; Перемешать; Украсить пучком мяты.  Украшения: листья мяты и пучок мяты Емкость для подачи: Хайбол «Мод», Nude, хр. стекло, 430 млКувшин без крышки, Neman, хр. стекло, 1,2 л ",lemonade,1725212950_268546.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/4d6lU1JRkjcMsvKfAWmdHrehW3I=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F260%2Flimonad_granat_arbuz.png
Спритц Азиатский," Ингредиенты:  пюре ОДК «Абрикос» – 10 мл; концентрированный сок ODK «Лайм Сауэр» – 20 мл; соджу сливовый – 40 мл; имбирный эль – 100 мл; лед – 7-10 кубиков.  Метод приготовления:  В охлажденном бокале смешать все ингредиенты; Добавить лед и перемешать; Украсить долькой сливы, предварительно обоженной при помощи горелки.  Украшения: обоженный абрикос Емкость для подачи: бокал для вина «Фолкнер», Probar, стекло, 290 мл ",alcohol,1725212951_1506703.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/LKpENYcAwDjLYFcQvtttNqQcmF0=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F260%2Faziatsky_spritz.png
Фраппучино «‎Копченный банан»‎," Ингредиенты:  сухая смесь для фраппе ОДК «Мокко» – 30 г; молоко – 100 мл; пюре ОДК «Банан» – 5 мл; сироп ОДК «Попкорн» – 5 мл; эспрессо – 30 мл; лед – фраппе (на глаз).  Метод приготовления:  В блендере взбить фраппе смесь, пюре, сироп и лед до получения однородной массы; Перелить в бокал, поверх вылить эспрессо.  Украшения: попкорн Емкость для подачи: Хайбол «Бах», Bormioli Luigi, хр. стекло, 360 мл ",coffee,1725212953_3189163.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/Di3SRgYVlNbt7gkjGsH_fXKupjA=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F260%2Ffrappucino_copchyony_banan.png
Спритц Дынный," Ингредиенты:  сироп ОДК «Дыня» – 10 мл; концентрированный сок ODK «Лимон Сауэр» – 10 мл; безалкогольный виски Drinksome – 20 мл; кордиал C.O.D.E «Апельсин фукумото / французская ваниль / соль» – 20 мл; игристое сухое вино – 80 мл; лед – 1 куб.  Метод приготовления:  Влить все ингредиенты в бокал на лед; Перемешать; Украсить листом зеленого базилика.  Украшения: лист зеленого базилика Емкость для подачи: Бокал для вина «Ле Вин», Rona, хр. стекло, 690 мл ",alcohol,1725212954_2207677.png,png,https://jz9czo0xs6.ru.scalesta-cdn.com/1MwOBALB2ezZX1HeLoNz_u3Sp8Y=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F260%2Fdinny_spritz.png
Напиток Chai latte «Малина-корица»," Ингредиенты:  Основа Chai latte «Малина-корица» – 25 г; Молоко – 200 мл; Молотая корица – 0,5 г.  Метод приготовления:  В питчер налить молоко и основу Chai latte «Малина-корица»; С помощью стримера, нагреть содержимое питчера до 65°C, и взбить пенку; Перелить содержимое питчера в бокал и украсить корицей.  Украшения: молотая корица Емкость для подачи: Олд фэшн хрусталь 330мл ",milkshake,1725212955_0468519.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/CLCT2uD7lgAfrGSG3qhxymx58Ww=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F752%D1%85480_Chai_latte.jpg
Hot chocolate," Ингредиенты:  Chocolate «Горячий шоколад» – 30 г; Молоко – 200 мл.  Метод приготовления:  В питчер налить молоко и добавить «Горячий шоколад»; С помощью стимера, нагреть содержимое питчера до 70-75°C,
без поднятия пенки; Перемешать ложкой и перелить содержимое питчера в бокал.  Украшения: шоколадная крошка Емкость для подачи: Чашка чайная «Проотель» стекло 250мл ",milkshake,1725212956_0646439.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/xze4PMxYYKHg8n4OMrhQU3SKkUU=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F752%D1%85480_Hot_chocolate.jpg
Милкшейк «Манго»," Ингредиенты:  Основа Milkshake cream «Манго» – 20 г; Молоко – 200 мл; Лед – 100 г; Кубики свежего манго.  Метод приготовления:  В чашу блендера налить молоко; Добавить основу Milkshake cream «Манго»; Добавить лед; Взбить в течении 30-40 секунд; Перелить содержимое чаши блендера в бокал, украсить веточкой мяты и кубиками свежего манго на шпажке.  Украшения: веточка мяты и кубики свежего манго Емкость для подачи: Хайбол «Америка 20х» стекло 400мл ",milkshake,1725212957_0786738.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/8aqVCkW9nz6lP-3Pg8lODace7j0=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F752%D1%85480_Milkshake.jpg
Раф «Малина-Кокос»," Ингредиенты:  Основа Raf Cream «Малина-кокос» – 20 г; Молоко – 200 мл; Эспрессо – 30 мл; Garnish Cream «Дикая малина» – 0,5 г.  Метод приготовления:  В питчер налить молоко, эспрессо, добавить основу Raf Cream «Малина-кокос»; С помощью стимера, нагреть содержимое питчера до 65°C, и взбить пенку; Перелить содержимое питчера в бокал и украсить гарнишем Garnish Cream «Дикая малина».  Украшения: молотая корица Емкость для подачи: Олд фэшн «Америка 20х» стекло 300 мл ",coffee,1725212957_932748.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/9TSZweiMu-0us6-z9IX7uduX8ao=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F752%D1%85480_Raf.jpg
Tarragon espresso tonic," Ингредиенты:  Тоник – 60 мл; Drinksome Amaro – 40 мл; Сироп «Тархун» Pinch&Drop – 60 мл; Кислая основа «Лайм» Pinch&Drop – 60 мл; Эспрессо – 15 мл.  Метод приготовления:  Сварите кофе, наполните бокал кусковым льдом; Налейте все ингредиенты в бокал, кроме эспрессо, хорошо перемешайте; Сверху добавьте эспрессо.  Емкость для подачи: Хайбол «Финесс Грид» хр. стекло, 350 мл ",coffee,1725212959_0316637.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/RKXxU4sjs8im9V2q1gXerdNsuEE=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F16_Estragon_Coffee-tonic.jpg
Rum tiramisu," Ингредиенты:  Эспрессо – 60 мл; Шоколадный топпинг Pinch&Drop – 15 мл; Сироп «Тирамису» Pinch&Drop – 15 мл; Печенье Савоярди – 2 шт; Drinksome Pirate Dark Rum – 10 мл; Взбитые сливки – 30 г.  Метод приготовления:  Сварите кофе, смешайте шоколадный топпинг и сироп и добавьте в бокал.; Поместите в бокал печенье савоярди; Смешайте эспрессо и ром Drinksome, и пропитайте печенье; Наполните бокал взбитыми сливками и украсьте.  Украшения: взбитые сливки Емкость для подачи: Олд фэшн «Аква» стекло, 285 мл ",coffee,1725212960_0773065.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/7ZL-e8QjhRqlkQTGePlPPxC8H48=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F17_Tiramisu_Coffee_1.jpg
Berry whiskey a la affogato," Ингредиенты:  Эспрессо – 60 мл; Drinksome Highland Scotch Whiskey – 25 мл; Пюре «Клубника» Pinch&Drop – 30 мл; Ванильное мороженое – 50 г; Взбитые сливки – 30 г.  Метод приготовления:  Приготовьте кофе и добавьте виски; На дно бокала влейте пюре и добавьте шарик пломбира; Сверху влейте кофе с виски, украсьте взбитыми сливками и клубникой.  Украшения: взбитые сливки и клубника Емкость для подачи: Олд фэшн «Дива 2.4.6.» стекло, 200 мл ",coffee,1725212961_0754726.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/sQxBpk7dEqzMhGyJEeJQ8hh6Y-g=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F18_Strawberry_Rum.jpg
Amaro banana tini," Ингредиенты:  Drinksome Amaro – 20 мл; Концентрат «Банан» фруктовый ODK – 20 мл; Сироп «Шоколадное Печенье» ODK – 10 мл; Эспрессо – 20 мл; Drinksome Orange Angobitter – 15 мл; Drinksome Aromatic Angobitter – 5 капель.  Метод приготовления:  Все ингредиенты добавьте в шейкер со льдом; Тщательно взбейте. Перелейте в бокал; Украсьте кофейными зернами.  Украшения: кофейные зерна Емкость для подачи: Коктейльная рюмка «Coctail Tran» стекло, 210 мл ",coffee,1725212962_1411746.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/AznMb-Y7tPhliumGax9GxhRGzLg=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F11_Coffee_Vermout.jpg
Express berry," Ингредиенты:  Drinksome Dry London Gin – 40 мл; Кордиал C.O.D.E «Черная Смородина / Ананасовый Экспресс / Лаванда» – 40 мл; Концентрат «Лимон Сауэр» на основе сока лимона ODK – 10 мл; Концентрат «Ежевика» фруктовый ODK – 15 мл.  Метод приготовления:  Все ингредиенты, кроме концентрата «Ежевика», добавьте в шейкер со льдом; Тщательно взбейте. Перелейте в бокал на колотый лед; Добавьте концентрат «Ежевика», не перемешивайте; Украсьте веточкой мяты.  Украшения: веточка мяты Емкость для подачи: Олд фэшн «Эклипс» хр. стекло, 290 мл ",lemonade,1725212963_1703298.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/FtPFm9myMSeNUfcC5w28hN3L1fw=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F12_Gin_express.jpg
Coffee mulled wine," Ингредиенты:  Колд-брю Руанда Doppio – 220 мл; Drinksome Siberian Aperitif – 30 мл; Сироп «Зеленое яболоко» Pinch&Drop – 10 мл; Кислая основа «Лайм» Pinch&Drop – 5 мл.  Метод приготовления:  В питчере смешайте все ингредиенты, прогрейте форсункой до 65 °C; Перелейте напиток в бокал; Украсьте чипсом апельсина.  Украшения: чипс апельсина Емкость для подачи: Кружка для горячих напитков «Проотель» двойные стенки термост. стекло, 350 мл ",coffee,1725212964_6115355.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/B9eQ72IgCst9p16bhtXiP91sy8s=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F13_Siberian_Coffee.jpg
Pirate Ice latte," Ингредиенты:  Эспрессо – 60 мл; Drinksome Pirate Dark Rum – 40 мл; Молоко 2,5 % – 60 мл; Сливки 10 % – 60 мл; Сироп «Ваниль» Pinch&Drop – 15 мл.  Метод приготовления:  Сварите кофе, положите в бокал кубы льда; Налейте все ингредиенты в бокал, кроме эспрессо, хорошо перемешайте; Сверху добавьте эспрессо.  Емкость для подачи: Хайбол «Топ класс» хр. стекло, 375 мл ",coffee,1725212965_693459.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/0f_8jfP-lR-7_gXpGna31Wgq1V8=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F14_Vanilla_Rum_Coffee.jpg
Floral espresso-tonic," Ингредиенты:  Розовый тоник – 60 мл; Drinksome Red Vermouth – 40 мл; Сироп «Дамасская роза» Pinch&Drop – 60 мл; Кислая основа «Лайм» Pinch&Drop – 60 мл; Эспрессо – 15 мл.  Метод приготовления:  Сварите кофе, наполните бокал кусковым льдом; Налейте все ингредиенты в бокал, кроме эспрессо, хорошо перемешайте; Сверху добавьте эспрессо.  Емкость для подачи: Хайбол «Финесс Грид» хр. стекло, 350 мл ",coffee,1725212966_6522946.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/xtIKwotxecuRZ5XsH1mWqPhnynQ=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F15_Rose_Coffee-tonic.jpg
Spicy berry," Ингредиенты:  Drinksome Siberian Aperitif – 40 мл; Кордиал C.O.D.E «Гранатовое Вино / Грецкий Орех / Яффа» – 30 мл; Сироп «Черная смородина» ODK – 7 мл; Тоник – 45 мл; Содовая – 45 мл;  Метод приготовления:  Наполните бокал льдом; Добавьте в бокал все ингредиенты; Перемешайте. Украсьте листом каффирского лайма.  Украшения: лист каффирского лайма Емкость для подачи: Бокал для вина «Сублим» хр. стекло, 400 мл  ",lemonade,1725212967_5613675.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/AzPm7GgVecbDZrsr7hB1P-a3ztY=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F08_jaffa.jpg
Light Pina Colada," Ингредиенты:  Концентрат «Кокос» ODK – 40 мл; Сироп «Ананас» ODK – 30 мл; Drinksome Pirate Dark Rum – 7 мл; Концентрат «Лайм Сауэр» на основе сока лайма ODK – 45 мл; Содовая – 45 мл.  Метод приготовления:  Все ингредиенты, кроме содовой, добавьте в шейкер со льдом; Тщательно взбейте. Перелейте на лед в бокал; Добавьте содовую. Украсьте напиток.  Украшения: кусочек ананаса Емкость для подачи: Хайбол «Саваж» хр. стекло, 330 мл  ",lemonade,1725212968_4690058.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/uRh2j5wQ1eTqzAhsrKKrestGOmo=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F09_Pina_Colada.jpg
Double Clover Club," Ингредиенты:  Drinksome Dry London Gin – 20 мл; Drinksome Japanese Gin – 20 мл; Сироп «Малина» ODK – 10 мл; Концентрат «Малина» фруктовый ODK – 20 мл; Концентрат «Лимон Сауэр» на основе сока лимона ODK – 15 мл; Пенообразователь C.O.D.E – 5 капель.  Метод приготовления:  Все ингредиенты добавьте в шейкер со льдом; Тщательно взбейте. Перелейте в бокал; Украсьте ягодами малины.  Украшения: ягоды малины Емкость для подачи: Бокал для вина «Ник&Нора» стекло, 150 мл ",lemonade,1725212969_49548.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/BYRFgTeDceHBTmJBEGwWUPOnVYU=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F10_Raspberry_gin.jpg
Citrus Spritz," Ингредиенты:  Drinksome Italian Orange Spritz – 40 мл; Drinksome Orange Angobitter – 10 капель; Кордиал C.O.D.E «Тимьян / Лимонный Мирт / Груша» – 40 мл; Содовая – 100 мл.  Метод приготовления:  Наполните бокал льдом; Добавьте в бокал все ингредиенты; Перемешайте и украсьте долькой апельсина.  Украшения: долька апельсина Емкость для подачи: Бокал для вина «Дистинкшн» стекло, 380 мл ",lemonade,1725212970_536781.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/0g2nA6kMayyjIUaaJPE45DtnFus=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F01_Spritz.jpg
Italian Rhubarb, Ингредиенты:  Drinksome Red Vermouth – 50 мл; Кордиал C.O.D.E «Ревень / Малина / Сицилийский Лимон» – 50 мл; Содовая – 50 мл; Drinksome Orange Angobitter – 10 капель.  Метод приготовления:  Наполните бокал льдом; Добавьте в бокал все ингредиенты; Перемешайте и украсьте цедрой лимона.  Украшения: цедра лимона Емкость для подачи: Бокал для вина «Мод» хр. стекло 360 мл ,lemonade,1725212971_8733237.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/LopVqf90CbvnWpI080eATz4AXo0=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F02_Red_antique.jpg
Lychee Rob roy," Ингредиенты:  Drinksome Highland Scotch Whiskey – 30 мл; Кордиал C.O.D.E «Личи / Белый Лотос / Кардамон» – 30 мл; Drinksome Red Vermouth – 30 мл  Метод приготовления:  Наполните бокал льдом; Добавьте в бокал все ингредиенты; Перемешайте. Украсьте цедрой лимона.  Украшения: цедра лимона Емкость для подачи: Олд фэшн «Финесс» хр. стекло, 300 мл ",lemonade,1725212972_8752973.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/gm_5C66erEeTZWNw83Xr0Pw_cp0=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F03_Whiskey_1.jpg
Tiger chamomile," Ингредиенты:  Drinksome Tiger Gin – 30 мл; Пюре «Маракуйя» фруктовое Pinch&Drop – 40 мл; Кислая основа «Лайм» Pinch&Drop – 15 мл; Холодный отвар ромашки – 80 мл.  Метод приготовления:  Все ингредиенты добавьте в шейкер со льдом; Тщательно взбейте; Перелейте на лед в бокал; Украсьте цветками ромашки.  Украшения: цветки ромашки Емкость для подачи: Бокал для вина «Сублим» хр. стекло, 450 мл ",lemonade,1725212974_0093548.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/z7-Ye_Dmcd8hmPmYVrO9xQ-nJIA=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F04_Romashka.jpg
Tropical ice tea," Ингредиенты:  Drinksome Dry London Gin – 30 мл; Кислая основа «Лайм» Pinch&Drop – 40 мл; Пюре «Фейхоа» фруктовое Pinch&Drop – 15 мл; Холодный чай GOATea «Кактус/Зеленый Чай/CBD» – 80 мл.  Метод приготовления:  Все ингредиенты, кроме чая, добавьте в шейкер со льдом; Взбейте. Перелейте на лед в бокал; Добавьте чай; Украсьте долькой лайма.  Украшения: долька лайма Емкость для подачи: Олд фэшн «Таймлесс» стекло, 345 мл ",cold_tea,1725212974_9416628.jpg,jpg,https://jz9czo0xs6.ru.scalesta-cdn.com/Xylgf260gvILG7S-268sihZSymA=/filters:format(webp)/https%3A%2F%2Fcomplexbar.ru%2Fimages%2Fblog%2F259%2F05_Fejhoa.jpg
